country,year,vacation_days,policy,happiness_vacation,happiness_policy,log_population,log_gdp,gdp,population,gdp_cap,log_gdp_cap,democracy,corruption,lag_policy,lag_happiness_policy,lag_vacation_days,lag_happiness_vacation
Mimim,2010,12,0,43.2,36.9,17.400407743393856,23.080097779421504,10557451801.41822,36049651.09892378,292.85864022504785,5.679690036027647,56.9,63.4,0,36.8,12,41.5
Mimim,2011,14,0,45.1,40.6,17.446363766457157,23.19099554217451,11795636857.178537,37745007.24331507,312.5085334105383,5.744631775717352,59.8,62.9,0,36.9,12,43.2
Mimim,2012,16,0,52.7,44.3,17.492319789520458,23.264188863624142,12691380048.468994,39520093.21500588,321.1374016610377,5.771869074103684,77.5,62,0,40.6,14,45.1
Mimim,2013,17,0,52.7,46.3,17.53827581258376,23.41917716617944,14819017605.352764,41378658.57740343,358.1318997480821,5.880901353595682,71,60.7,0,44.3,16,52.7
Mimim,2014,18,1,53.5,54.3,17.58423183564706,23.473862773774353,15651972334.797909,43324629.229750864,361.2719280711064,5.8896309381272935,76.2,61.9,0,46.3,17,52.7
Mimim,2015,20,1,61.4,58.4,17.63018785871036,23.601530415655162,17783384720.645042,45362115.69991327,392.03164240152586,5.971342556944801,83.1,60.4,1,54.3,18,53.5
Mimim,2016,21,1,63.1,54.7,17.676143881773662,23.748169029608057,20592011156.91079,47495421.827159874,433.5578117791432,6.072025147834395,87.3,60.4,1,58.4,20,61.4
Mimim,2017,22,1,66.1,59.1,17.722099904836963,23.8226967324709,22185321922.073494,49729053.85328329,446.123949744295,6.100596827633936,92.2,57.9,1,54.7,21,63.1
Mimim,2018,24,1,71.4,67.6,17.768055927900264,23.948679384408614,25163978503.773388,52067729.94125924,483.2931747199733,6.18062345650835,100,58,1,59.1,22,66.1
Mimim,2019,25,1,73.2,59.9,17.814011950963565,24.08272027185817,28773488785.426865,54516390.14155326,527.7951953663061,6.268708320894607,99.7,58.6,1,67.6,24,71.4
Bimom,2010,9,0,36.6,36.4,17.997624427327427,26.654494729332516,376617051389.0134,65504174.23329119,5749.51223791789,8.656870302005089,37.2,65.2,0,34,9,37.6
Bimom,2011,11,1,41.1,44.8,18.034519451550764,26.85171497117124,458724189091.34674,67966089.27014174,6749.309751633296,8.817195519620476,40,64.4,0,36.4,9,36.6
Bimom,2012,13,1,46.2,50.8,18.0714144757741,26.826036886086715,447094977262.2681,70520533.15297215,6339.926221096996,8.754622410312614,52.9,64,1,44.8,11,41.1
Bimom,2013,14,1,47.8,54.3,18.10830949999744,26.847117736529356,456620166406.8043,73170983.49462049,6240.454133575708,8.738808236531916,46,62.4,1,50.8,13,46.2
Bimom,2014,16,1,52.6,48.7,18.145204524220777,26.91170845949104,487086936996.88654,75921048.61085238,6415.703496056045,8.766503935270265,55.7,62.8,1,54.3,14,47.8
Bimom,2015,18,1,56.7,54.2,18.182099548444114,27.02936672378828,547904437075.1652,78774472.43271203,6955.355207782279,8.847267175344165,55.9,61.8,1,48.7,16,52.6
Bimom,2016,19,1,58.6,55.5,18.218994572667448,27.097659666452785,586629725513.2428,81735139.60349943,7177.2034446751795,8.878665093785337,56.1,62.8,1,54.2,18,56.7
Bimom,2017,20,1,60.4,55.2,18.255889596890785,27.158858531564313,623652108593.0171,84807080.76731408,7353.77403573337,8.902968934673527,49.6,59.9,1,55.5,19,58.6
Bimom,2018,21,1,62.2,55.5,18.292784621114123,27.25805416080688,688687990078.7883,87994478.05636099,7826.490994556267,8.965269539692756,48,60.4,1,55.2,20,60.4
Bimom,2019,23,1,67.4,60,18.32967964533746,27.23142546594853,670591144765.3423,91301670.7844951,7344.785029708596,8.901745820611069,57.8,60,1,55.5,21,62.2
Sifol,2010,15,0,57.6,52.8,15.123773798597538,25.612531896477815,132856029843.0417,3699742.5665935013,35909.53355583534,10.488758097880277,47.5,55.6,0,48.6,15,57.5
Sifol,2011,16,0,59.5,52.5,15.160646375084271,25.665748714102214,140117713095.83414,3838707.8674436538,36501.2702019297,10.505102339017943,46.4,54.6,0,52.8,15,57.6
Sifol,2012,17,1,62.4,59.5,15.197518951571004,25.675564496704027,141499850388.49585,3982892.816551159,35526.90391277526,10.478045545133023,55.6,53,0,52.5,16,59.5
Sifol,2013,17,1,62.7,59.7,15.234391528057737,25.770242123648334,155551409811.76874,4132493.4680947494,37641.05400594484,10.535850595590597,45.4,51.1,1,59.5,17,62.4
Sifol,2014,17,1,64.2,61,15.27126410454447,25.767129744676247,155068027499.4706,4287713.2402054975,36165.67125931179,10.495865640131777,53.8,51.7,1,59.7,17,62.7
Sifol,2015,18,1,66.1,65.8,15.308136681031202,25.83211012318034,165478997962.17972,4448763.191562776,37196.62990289436,10.523973442149137,53.7,49.6,1,61,17,64.2
Sifol,2016,19,1,70,65.4,15.345009257517937,25.92378146624335,181365735255.67563,4615862.308379399,39291.842593838555,10.578772208725415,60.1,48.9,1,65.8,18,66.1
Sifol,2017,19,1,70,60.2,15.38188183400467,25.947257414440088,185673838409.38046,4789237.802166099,38768.97453816201,10.565375580435418,53.6,46,1,65.4,19,70
Sifol,2018,20,1,72.5,64.5,15.418754410491402,26.009951937511698,197687223138.73523,4969125.41868038,39783.101951013705,10.591197527020295,54.1,45.5,1,60.2,19,70
Sifol,2019,20,1,73.5,72.4,15.455626986978135,26.078737898911168,211763918453.01562,5155769.758479639,41073.1914676232,10.623110911933033,58.5,45.4,1,64.5,20,72.5
Hafir,2010,13,0,51.3,45,17.107496388716914,25.19371747921894,87396185913.22949,26896222.002823494,3249.3852074858273,8.086221090502026,34.3,56.6,0,42.4,13,49.9
Hafir,2011,12,1,48.7,51.7,17.147589524009348,25.293405322479817,96557577218.7286,27996484.98500572,3448.9178648834895,8.145815798470469,25.8,56.3,0,45,13,51.3
Hafir,2012,13,1,53.9,60.7,17.187682659301778,25.3598655797674,103192868071.07552,29141757.211602677,3541.065397044406,8.172182920465623,34.1,54.1,1,51.7,12,48.7
Hafir,2013,12,1,49.8,54,17.227775794594212,25.526667271560832,121924430979.58463,30333879.90795395,4019.414309991199,8.29889147696662,27.3,52.9,1,60.7,13,53.9
Hafir,2014,12,1,51.6,50.2,17.267868929886646,25.56345292550908,126493014912.8379,31574769.619720135,4006.1421329844397,8.295583995622433,29.4,53.8,1,54,12,49.8
Hafir,2015,12,1,52.6,52.3,17.30796206517908,25.698298874352744,144753607352.929,32866421.294065446,4404.300853377868,8.390336809173665,24.8,51.8,1,50.2,12,51.6
Hafir,2016,13,1,53.9,57.4,17.34805520047151,25.861353966136537,170389693632.7473,34210911.48688385,4980.56573845082,8.513298765665027,25.8,51.6,1,52.3,12,52.6
Hafir,2017,12,1,52.6,53.7,17.388148335763944,25.94931360849651,186056012629.88065,35610401.701226205,5224.765903819445,8.561165272732566,20.1,49.1,1,57.4,13,53.9
Hafir,2018,12,1,54,56.5,17.428241471056378,26.06574604738439,209030507547.25552,37067141.86229362,5639.239958770353,8.637504576328013,19.8,48.4,1,53.7,12,52.6
Hafir,2019,12,1,53.6,58.7,17.46833460634881,26.21707295952378,243181267629.9019,38583473.93458607,6302.7312688895845,8.748738353174968,13.8,48.6,1,56.5,12,54
Mikib,2010,5,0,32.1,38.2,17.1131346334921,25.682435514612894,142475446224.6225,27048297.803425755,5267.445931720609,8.569300881120796,25.3,65,0,34.6,5,30.8
